Teams,Season Won,Brand Value,Fan Base,Captain,Home Ground,,Number times Won
CSK,2010 2011 2018 2021 2023,1.15$ Billion ,35.9 Million,Ruturaj Gaikwad,M.A. Chidambaram,,5
RCB,0,1.025$ Billion ,27.8 Million,Faf Du Plessis,M. Chinnaswamy Stadium,,0
MI,2013 2015 2017 2019 2020,1.3$ Billion ,34.9 Million,Hardik Pandya,Wankhede Stadium,,5
KKR,2012 2014,1.1$ Billion ,26 Million,Shreyas Iyer,Eden Gardens,,2
GT,2022,0.85$ Billion ,6 Million,Shubman Gill,Narendra  Modi Stadium,,1
LSG,0,1.075$ Billion ,4.3 Million,KL Rahul,Ekana Cricket Stadium,,0
PBKS,0,0.925$ Billion ,14.5 Million,Shikhar Dhawan,PCA New Stadium,,0
DC,0,1.035$ Billion ,14.3 Million,Rishabh Pant,Arun Jaitley Stadium,,0
SRH,2009 2016 ,0.97$ Billion ,12.5 Million,Pat Cummins,Rajiv Gandhi Stadium,,2
RR,2008,1$ Billion ,11 Million,Sanju Samson,Sawai Mansingh Stadum,,1
